index,blockTime,tickCumulative,secondsPerLiquidityCumulativeX128,initialized
117,1708702151,-22535980932394,250411487698698475228511016977,true
118,1708702163,-22535983947514,250411489534816734437580770442,true
119,1708702175,-22535986961986,250411491370934993646650523907,true
120,1708702211,-22535996002198,250411496893439966210290618417,true
121,1708702247,-22536005045578,250411502401794743837499878814,true
122,1708702259,-22536008058922,250411504242629734692046576984,true
123,1708702283,-22536014085226,250411507924405471367376615707,true
124,1708702307,-22536020113618,250411511596641989785516122638,true
125,1708702319,-22536023128402,250411513432760248994585876103,true
126,1708702343,-22536029158858,250411517104996767412725383034,true
127,1708702367,-22536035190466,250411520777118824310643147374,true
128,1708702391,-22536041220826,250411524449355342728782654305,true
129,1708702487,-22536065337274,250411539138301416401340682030,true
130,1708702535,-22536077397370,250411546482774453237619695892,true
131,1708702559,-22536083429218,250411550154896510135537460232,true
132,1708702595,-22536092480302,250411555661968149401232547109,true
133,1708702655,-22536107565982,250411564840420881510724358571,true
134,1708702667,-22536110582410,250411566676114850756190410495,true
135,1708702691,-22536116617714,250411570347495274296053151416,true
136,1708702739,-22536128686066,250411577690257459983646600586,true
137,1708702763,-22536134718250,250411578707512866974263073449,true
138,1708702799,-22536143767426,250411580233395977460187782744,true
139,1708702835,-22536152818978,250411585740467616725882869621,true
140,1708702871,-22536161866822,250411591248650702072759516131,true
141,1708702883,-22536164883106,250411591757278405568067752562,true
142,1708702943,-22536179965726,250411594300416923044608934721,true
143,1708702979,-22536189018430,250411599807487558354403046102,true
144,1708703039,-22536204108850,250411608985938617204059898404,true
145,1708703051,-22536207127126,250411610821628828973991268864,true
146,1708703063,-22536210144418,250411612657319375395889631156,true
147,1708703111,-22536222220306,250411619999251706619157411694,true
148,1708703123,-22536225239302,250411621834734789424974356828,true
149,1708703135,-22536228258358,250411623670217872230791301962,true
150,1708703147,-22536231279106,250411625505672453716391325588,true
151,1708703171,-22536237319210,250411629176636161134978124394,true
152,1708703207,-22536246382786,250411634682793238096147529139,true
153,1708703231,-22536252426106,250411638353564622736927132302,true
154,1708703303,-22536270555850,250411649365878776659265941793,true
155,1708703327,-22536276597274,250411653036787939630465989045,true
156,1708703339,-22536279618682,250411654872173631950855790626,true
157,1708703351,-22536282639598,250411656707628213436455814252,true
158,1708703435,-22536303789202,250411669555328059679184425325,true
159,1708703495,-22536318891862,250411678732600967107184543455,true
160,1708703543,-22536330969862,250411686074533298330452323993,true
161,1708703555,-22536333988978,250411687910016381136269269127,true
162,1708703603,-22536346065778,250411695251948712359537049665,true
163,1708703651,-22536358144642,250411702593876127196710647278,true
164,1708703759,-22536385328242,250411719113212810580351241908,true
165,1708703843,-22536406476166,250411731960912656823079852981,true
166,1708703903,-22536421585306,250411741137841118425028860890,true
167,1708703915,-22536424608550,250411742973240992473894745143,true
168,1708703975,-22536439727830,250411752150240362718224166409,true
169,1708704011,-22536448800586,250411757656439984864821819168,true
170,1708704035,-22536454847434,250411761327239732962553587674,true
171,1708704047,-22536457871314,250411763162639607011419471927,true
172,1708704083,-22536466943998,250411768668839229158017124686,true
173,1708704143,-22536482062258,250411777845838599402346545952,true
174,1708704263,-22536512311018,250411796199837339891005388485,true
175,1708704371,-22536539543650,250411812718435044192623353348,true
176,1708704395,-22536545593306,250411816389234792290355121854,true
177,1708704419,-22536551643394,250411820060034540388086890360,true
178,1708704431,-22536554668450,250411821895434414436952774613,true
179,1708704479,-22536566771170,250411829237033394126560758996,true
180,1708704503,-22536572821354,250411832907833142224292527502,true
181,1708704539,-22536581893966,250411838414032764370890180261,true
182,1708704551,-22536584917750,250411840249432638419756064514,true
183,1708704575,-22536590965414,250411843920232386517487833020,true
184,1708704623,-22536603058150,250411851261831882712951370033,true
185,1708704707,-22536624226990,250411864109631001055012559806,true
186,1708704815,-22536651451954,250411880628229867494805518085,true
187,1708704923,-22536678670438,250411897146828733934598476364,true
188,1708704983,-22536693794818,250411906323828104178927897630,true
189,1708705031,-22536705898834,250411913665427083868535882013,true
190,1708705079,-22536718009810,250411921007023415813578366755,true
191,1708705103,-22536724066858,250411924677821581786099609126,true
192,1708705211,-22536751328542,250411941196413328662445199796,true
193,1708705247,-22536760418254,250411946704430199162382723945,true
194,1708705271,-22536766476862,250411950375228365134903966316,true
195,1708705475,-22536817963810,250411981577012775901334526471,true
196,1708705487,-22536820991914,250411983412411858887595147656,true
197,1708705499,-22536824019490,250411985247810941873855768841,true
198,1708705547,-22536836127586,250411992589407273818898253583,true
199,1708705559,-22536839153638,250411994424807018741300249678,true
200,1708705571,-22536842178526,250411996260206892790166133931,true
