index,blockTime,tickCumulative,secondsPerLiquidityCumulativeX128,initialized
0,1710952835,18127248425890,198044337547995419627403226049774736221198,true
1,1710952859,18127253119282,198044337547995419628550641843630441317275,true
2,1710952967,18127274238250,198044337547995419633714012915981114249622,true
3,1710953195,18127318818862,198044337547995419644630370097582730607945,true
4,1710953219,18127323511102,198044337547995419645779460327225006014084,true
5,1710953231,18127325856946,198044337547995419646354005442046143717153,true
6,1710953243,18127328202442,198044337547995419646901716897122403300942,true
7,1710953363,18127351656682,198044337547995419652378831447884999138834,true
8,1710953387,18127356347890,198044337547995419653474254358037518306412,true
9,1710953435,18127365731074,198044337547995419655772434817322069118690,true
10,1710953447,18127368077014,198044337547995419656346979932143206821759,true
11,1710953459,18127370423074,198044337547995419656921525046964344524828,true
12,1710953615,18127400922166,198044337547995419664390611539639134664733,true
13,1710953651,18127407960274,198044337547995419666114246884102547773942,true
14,1710953711,18127419690154,198044337547995419668986972458208236289290,true
15,1710953723,18127422036022,198044337547995419669561517573029373992359,true
16,1710953735,18127424381794,198044337547995419670136062687850511695428,true
17,1710953747,18127426727170,198044337547995419670683774142926771279217,true
18,1710953843,18127445489026,198044337547995419675065465783536847949531,true
19,1710953855,18127447834306,198044337547995419675613177238613107533320,true
20,1710953867,18127450179658,198044337547995419676160888693689367117109,true
21,1710953903,18127457216110,198044337547995419677804023058918145868476,true
22,1710953939,18127464252742,198044337547995419679447157424146924619843,true
23,1710954083,18127492400278,198044337547995419686019694885062039625314,true
24,1710954119,18127499437378,198044337547995419687662829250290818376681,true
25,1710954143,18127504128970,198044337547995419688811919479933093782820,true
26,1710954203,18127515858310,198044337547995419691684645054038782298168,true
27,1710954395,18127553393542,198044337547995419700877366891176985547282,true
28,1710954419,18127558085326,198044337547995419702026457120819260953421,true
29,1710954443,18127562776750,198044337547995419703121880030971780120999,true
30,1710954455,18127565122186,198044337547995419703669591486048039704788,true
31,1710954587,18127590918550,198044337547995419709694417491886895126470,true
32,1710954623,18127597954066,198044337547995419711337551857115673877837,true
33,1710954875,18127647203686,198044337547995419722839492413717125137411,true
34,1710954899,18127651893454,198044337547995419723945392733011963048724,true
35,1710954911,18127654238146,198044337547995419724498342892659382004380,true
36,1710954947,18127661269198,198044337547995419726047602883964558268841,true
37,1710954995,18127670641774,198044337547995419728113640165795445832057,true
38,1710955007,18127672985086,198044337547995419728630149486253167722861,true
39,1710955115,18127694077486,198044337547995419733277929460168696516246,true
40,1710955127,18127696421002,198044337547995419733794438780626418407050,true
41,1710955139,18127698764398,198044337547995419734310948101084140297854,true
42,1710955151,18127701107734,198044337547995419734827457421541862188658,true
43,1710955163,18127703450962,198044337547995419735343966741999584079462,true
44,1710955175,18127705794034,198044337547995419735860476062457305970266,true
45,1710955331,18127736253502,198044337547995419742575097228407690550719,true
46,1710955379,18127745625838,198044337547995419744641134510238578113935,true
47,1710955391,18127747968958,198044337547995419745157643830696300004739,true
