time,price,timeRange(seconds)
2024-02-23T14:28:59Z[UTC],8.55,24
2024-02-23T14:29:11Z[UTC],8.61,12
2024-02-23T14:29:23Z[UTC],8.87,12
2024-02-23T14:30:11Z[UTC],9.00,48
2024-02-23T14:30:23Z[UTC],9.05,12
2024-02-23T14:30:35Z[UTC],9.17,12
2024-02-23T14:30:47Z[UTC],9.14,12
2024-02-23T14:30:59Z[UTC],9.20,12
2024-02-23T14:31:11Z[UTC],9.16,12
2024-02-23T14:31:23Z[UTC],9.07,12
2024-02-23T14:31:47Z[UTC],8.93,24
2024-02-23T14:32:23Z[UTC],8.93,36
2024-02-23T14:32:35Z[UTC],8.85,12
2024-02-23T14:33:11Z[UTC],8.91,36
2024-02-23T14:33:35Z[UTC],9.02,24
2024-02-23T14:33:47Z[UTC],9.15,12
2024-02-23T14:33:59Z[UTC],9.27,12
2024-02-23T14:34:11Z[UTC],9.30,12
2024-02-23T14:34:23Z[UTC],9.38,12
2024-02-23T14:34:35Z[UTC],9.44,12
2024-02-23T14:34:47Z[UTC],9.43,12
2024-02-23T14:34:59Z[UTC],9.69,12
2024-02-23T14:35:11Z[UTC],9.70,12
2024-02-23T14:35:23Z[UTC],10.05,12
2024-02-23T14:35:35Z[UTC],9.86,12
2024-02-23T14:35:47Z[UTC],9.91,12
2024-02-23T14:35:59Z[UTC],9.86,12
2024-02-23T14:36:35Z[UTC],9.94,36
2024-02-23T14:37:11Z[UTC],9.84,36
2024-02-23T14:37:23Z[UTC],9.92,12
2024-02-23T14:37:35Z[UTC],10.00,12
2024-02-23T14:37:47Z[UTC],10.04,12
2024-02-23T14:38:11Z[UTC],10.18,24
2024-02-23T14:38:23Z[UTC],10.19,12
2024-02-23T14:38:35Z[UTC],10.02,12
2024-02-23T14:38:47Z[UTC],10.29,12
2024-02-23T14:39:11Z[UTC],10.30,24
2024-02-23T14:39:23Z[UTC],10.61,12
2024-02-23T14:39:35Z[UTC],10.53,12
2024-02-23T14:39:47Z[UTC],10.26,12
2024-02-23T14:39:59Z[UTC],9.88,12
2024-02-23T14:40:23Z[UTC],10.15,24
2024-02-23T14:40:35Z[UTC],10.11,12
2024-02-23T14:40:47Z[UTC],10.35,12
2024-02-23T14:40:59Z[UTC],10.25,12
2024-02-23T14:41:11Z[UTC],10.16,12
2024-02-23T14:41:23Z[UTC],10.25,12
2024-02-23T14:43:35Z[UTC],10.35,132
2024-02-23T14:43:47Z[UTC],10.20,12
2024-02-23T14:43:59Z[UTC],10.25,12
2024-02-23T14:44:23Z[UTC],10.18,24
2024-02-23T14:45:23Z[UTC],10.27,60
2024-02-23T14:45:35Z[UTC],10.33,12
2024-02-23T14:45:59Z[UTC],10.30,24
2024-02-23T14:46:35Z[UTC],10.38,36
