time,price,timeRange(seconds)
2024-02-21T06:35:23Z[UTC],7.38,2880
2024-02-21T07:01:35Z[UTC],7.35,3264
2024-02-21T07:03:23Z[UTC],7.35,3372
2024-02-21T07:08:11Z[UTC],7.32,1968
2024-02-21T07:25:11Z[UTC],7.30,2988
2024-02-21T08:06:59Z[UTC],7.28,2508
2024-02-21T08:28:47Z[UTC],7.28,3816
2024-02-21T09:18:11Z[UTC],7.32,2964
2024-02-21T09:25:59Z[UTC],7.32,3432
2024-02-21T09:27:47Z[UTC],7.32,3540
2024-02-21T09:40:59Z[UTC],7.30,4332
2024-02-21T09:41:35Z[UTC],7.30,4368
2024-02-21T09:57:23Z[UTC],7.24,1884
2024-02-21T10:27:11Z[UTC],7.20,2736
2024-02-21T10:43:47Z[UTC],7.20,2784
2024-02-21T10:53:23Z[UTC],7.20,3360
2024-02-21T11:04:47Z[UTC],7.23,2256
2024-02-21T11:36:59Z[UTC],7.27,1932
2024-02-21T12:07:23Z[UTC],7.25,1824
2024-02-21T12:14:35Z[UTC],7.24,2256
2024-02-21T12:26:11Z[UTC],7.25,2952
2024-02-21T12:43:11Z[UTC],7.26,2148
2024-02-21T13:34:23Z[UTC],7.29,3072
2024-02-21T13:53:23Z[UTC],7.29,4212
2024-02-21T14:18:23Z[UTC],7.25,2640
2024-02-21T14:26:47Z[UTC],7.23,2004
2024-02-21T14:29:23Z[UTC],7.23,2160
2024-02-21T15:15:59Z[UTC],7.16,2796
2024-02-21T15:23:35Z[UTC],7.16,3252
2024-02-21T17:37:11Z[UTC],7.21,8016
2024-02-21T17:50:47Z[UTC],7.21,8832
2024-02-21T17:57:23Z[UTC],7.21,9228
2024-02-21T18:28:47Z[UTC],7.14,1884
2024-02-21T19:05:35Z[UTC],7.10,2208
2024-02-21T19:18:23Z[UTC],7.11,2976
2024-02-21T21:06:35Z[UTC],7.15,6492
2024-02-21T21:27:35Z[UTC],7.16,7752
2024-02-21T21:29:59Z[UTC],7.16,7896
2024-02-21T21:40:23Z[UTC],7.19,2028
2024-02-21T22:26:23Z[UTC],7.26,2760
2024-02-21T22:40:11Z[UTC],7.27,3588
2024-02-21T22:54:23Z[UTC],7.28,4440
2024-02-21T23:16:47Z[UTC],7.32,2196
2024-02-21T23:38:23Z[UTC],7.32,2640
2024-02-22T01:15:35Z[UTC],7.35,5832
2024-02-22T01:39:47Z[UTC],7.36,7284
2024-02-22T01:51:47Z[UTC],7.37,2172
2024-02-22T02:11:23Z[UTC],7.34,1896
2024-02-22T02:56:11Z[UTC],7.35,2688
2024-02-22T05:23:11Z[UTC],7.33,8820
2024-02-22T06:27:11Z[UTC],7.33,3840
2024-02-22T06:33:35Z[UTC],7.33,4224
2024-02-22T06:41:23Z[UTC],7.34,4692
2024-02-22T06:48:35Z[UTC],7.34,5124
2024-02-22T06:52:23Z[UTC],7.35,5352
2024-02-22T08:14:47Z[UTC],7.45,4944
2024-02-22T09:43:47Z[UTC],7.47,5340
2024-02-22T10:40:23Z[UTC],7.49,3396
2024-02-22T10:47:35Z[UTC],7.49,3828
2024-02-22T12:37:47Z[UTC],7.44,6612
2024-02-22T12:40:47Z[UTC],7.44,6792
2024-02-22T13:15:59Z[UTC],7.41,2112
2024-02-22T13:17:47Z[UTC],7.41,2220
2024-02-22T13:44:59Z[UTC],7.38,3852
2024-02-22T13:46:11Z[UTC],7.35,1812
2024-02-22T14:13:35Z[UTC],7.32,3348
