time,price
2024-02-23T14:21,7.16
2024-02-23T14:22,7.17
2024-02-23T14:23,7.18
2024-02-23T14:24,7.19
2024-02-23T14:25,7.20
2024-02-23T14:26,7.23
2024-02-23T14:27,7.25
2024-02-23T14:28,7.27
2024-02-23T14:29,7.30
2024-02-23T14:30,7.35
2024-02-23T14:31,7.39
2024-02-23T14:32,7.43
2024-02-23T14:33,7.46
2024-02-23T14:34,7.50
2024-02-23T14:35,7.54
2024-02-23T14:36,8.47
2024-02-23T14:37,8.60
2024-02-23T14:38,8.78
2024-02-23T14:39,8.96
2024-02-23T14:40,9.18
2024-02-23T14:41,9.30
2024-02-23T14:43,9.66
2024-02-23T14:44,9.75
2024-02-23T14:45,9.83
2024-02-23T14:46,9.92
2024-02-23T14:47,10.04
2024-02-23T14:48,10.10
2024-02-23T14:49,10.21
2024-02-23T14:50,10.28
