time,price
2024-02-23T14:21,7.27
2024-02-23T14:22,7.34
2024-02-23T14:23,7.49
2024-02-23T14:24,7.60
2024-02-23T14:25,7.83
2024-02-23T14:26,8.13
2024-02-23T14:27,8.02
2024-02-23T14:28,8.19
2024-02-23T14:29,8.61
2024-02-23T14:30,9.00
2024-02-23T14:31,9.16
2024-02-23T14:32,8.93
2024-02-23T14:33,8.91
2024-02-23T14:34,9.30
2024-02-23T14:35,9.70
2024-02-23T14:36,9.94
2024-02-23T14:37,9.84
2024-02-23T14:38,10.18
2024-02-23T14:39,10.30
2024-02-23T14:40,10.15
2024-02-23T14:41,10.16
2024-02-23T14:43,10.35
2024-02-23T14:44,10.18
2024-02-23T14:45,10.27
2024-02-23T14:46,10.38
2024-02-23T14:47,10.42
2024-02-23T14:48,10.41
2024-02-23T14:49,10.58
2024-02-23T14:50,10.72
