blockNum,blockTime,transactionHash,transactionIndex,address,data,topic1,topic2,topic3,topic4,topic5
19290849,2024-02-23T14:21:11Z[UTC],0xbbf83767ad837cad3de2ff94fd9263c58e7f14d32286e2ba9d18b4eef8700671,67,0x50ce56a3239671ab62f185704caedf626352741e,7287313 ,priceUpdate,cUNI,
19290856,2024-02-23T14:22:35Z[UTC],0x60c8d0e74e8e2758cd4241eded577357235bed1bbcc89e101be0f2665865ad14,89,0x50ce56a3239671ab62f185704caedf626352741e,7418180 ,priceUpdate,cUNI,
19290857,2024-02-23T14:22:47Z[UTC],0x8aebd11b95e2ed202c4f653d14bb03974453feff1e35a081b481082922535490,28,0x50ce56a3239671ab62f185704caedf626352741e,2957170000 ,priceUpdate,0xaaaebeba3810b1e6b70781f14b2d72c1cb89c0b2b320c43bb67ff79f562f5ff4,
19290861,2024-02-23T14:23:35Z[UTC],0xda80f68cd5aa090db3b8ae35eac3bea4f55df0f4c9288bd4fe6e35d4c9a1ae49,89,0x50ce56a3239671ab62f185704caedf626352741e,7528505 ,priceUpdate,cUNI,
19290866,2024-02-23T14:24:35Z[UTC],0xac817d0270b138ba4ba4d2db61c9af2b1ca91f0ec554387103eaa96f4d0669f9,26,0x50ce56a3239671ab62f185704caedf626352741e,7742189 ,priceUpdate,cUNI,
19290869,2024-02-23T14:25:11Z[UTC],0x0aa15c8ff1ec17d2fe49afa075202db96f00f0a9774b8b78f0cdc19ed4d8da83,68,0x50ce56a3239671ab62f185704caedf626352741e,1301774 ,priceUpdate,0xbbf304add43db0a05d104474683215530b076be1dfdf72a4d53a1e443d8e4c21,
19290869,2024-02-23T14:25:11Z[UTC],0x7f8b595affb9b6deda5ed0f2e24772c2cd7b5f58c82257dd30cff0e57b37ddc5,92,0x50ce56a3239671ab62f185704caedf626352741e,7868300 ,priceUpdate,cUNI,
19290871,2024-02-23T14:25:35Z[UTC],0x501e7e0c4cf1e1896c406406f93d267be4e82d9e2cfacf110b83d852cf7f5aee,256,0x50ce56a3239671ab62f185704caedf626352741e,59524989 ,priceUpdate,0xb6dbcaeee318e11fe1e87d4af04bdd7b4d6a3f13307225dc7ee72f7c085ab454,
19290874,2024-02-23T14:26:11Z[UTC],0x9234eea283a54542cffa8a063e0d22f730b6091eb281ad1730c1324a98006f27,53,0x50ce56a3239671ab62f185704caedf626352741e,8136170 ,priceUpdate,cUNI,
19290876,2024-02-23T14:26:35Z[UTC],0xbc30fe342e41d4e89cdea4a2c49d6cf7824d0fb8538f833dcce7f20bb0f671d1,63,0x50ce56a3239671ab62f185704caedf626352741e,7977138 ,priceUpdate,cUNI,
